t,Pxerr_Boris,Pxerr_RK4,Pxerr_SPPINN
6.0,0.0002465550589185739,1.780457559164006e-09,1.8513347890269927e-05
6.400000000000006,0.0005856080929920182,1.1269776223343797e-09,2.5339853871653162e-05
6.799999999999997,0.0009424510555451349,4.755178473203614e-10,3.2060742899187034e-05
7.200000000000003,0.0013267020066094481,1.7583490219408304e-10,3.865108825662489e-05
7.6000000000000085,0.001750802978702115,8.050058397657267e-10,4.507443829826485e-05
8.0,0.002231891260217278,1.4538228398919273e-09,5.127563238183086e-05
8.400000000000006,0.0027950523736350874,2.047224167966988e-09,5.7167704219374116e-05
8.799999999999997,0.0034794335429539913,2.592760228736779e-09,6.260752038711459e-05
9.200000000000003,0.004350781290594963,3.1077229678544427e-09,6.734512649675395e-05
9.600000000000009,0.005530059811246879,3.5405003373512045e-09,7.09084112839875e-05
10.0,0.007268613545337477,3.6261535996118255e-09,7.230347489484146e-05
10.400000000000006,0.010187376099814793,3.1424329804963236e-09,6.908490477819385e-05
10.799999999999997,0.01625642315082243,9.28750409912027e-10,5.376630026621143e-05
11.200000000000003,0.031491568418808846,6.750298153779255e-09,7.268923982506337e-06
11.600000000000009,0.025681592124702446,1.1707673275296315e-08,4.5172096897361236e-05
12.0,0.01458979160534657,1.5420195786930435e-08,8.112212406397035e-05
12.400000000000006,0.010012292676369938,1.61547175636656e-08,8.751728621092525e-05
12.799999999999997,0.0075912921047964765,1.5864082048011596e-08,8.578764833977459e-05
13.200000000000003,0.006073130324092624,1.5257151986247663e-08,8.114985546470166e-05
13.600000000000009,0.005014483006140047,1.4403749748481687e-08,7.526119272105447e-05
14.0,0.004221293638066115,1.3432161161119893e-08,6.877923743253689e-05
14.400000000000006,0.003595168958417716,1.2398665649726581e-08,6.200539876521916e-05
14.799999999999997,0.003080706575357972,1.131949467492177e-08,5.509193235475607e-05
15.200000000000003,0.0026441547478714966,1.0264722405395332e-08,4.812118911701191e-05
15.600000000000009,0.002263631654642939,9.23395226948287e-09,4.113983444620217e-05
16.0,0.001924198166848523,8.055245359628316e-09,3.41751031056603e-05
16.400000000000006,0.0016151809087356916,6.90044554829683e-09,2.7243725066128377e-05
16.799999999999997,0.001328625002418704,5.716476625394762e-09,2.0355913864289477e-05
17.200000000000003,0.0010583477140233555,4.48237669203877e-09,1.3518307871329682e-05
17.60000000000001,0.0007993284954141977,3.2639033697989817e-09,6.735630164733664e-06
18.0,0.0005472928210625838,2.0248873688899494e-09,1.1553478174164411e-08
18.400000000000006,0.0002984074803218384,7.894995768253921e-10,6.650378111761057e-06
18.799999999999997,4.9037310127175715e-05,4.779541207255988e-10,1.3246251288734356e-05
19.200000000000003,0.00020447240175869297,1.7346799552342418e-09,1.9771053546779882e-05
19.60000000000001,0.00046601636602749963,3.026941364225877e-09,2.6218179807191433e-05
20.0,0.00073998313825685,4.357413985189851e-09,3.2578460049226265e-05
20.400000000000006,0.001031580092174078,5.66429525505896e-09,3.8838977266753005e-05
20.799999999999997,0.001347286316826235,6.977312505540567e-09,4.49815108911622e-05
21.200000000000003,0.0016955281464712257,8.271172191598453e-09,5.0979744366852486e-05
21.60000000000001,0.002087744854306628,9.632019626337751e-09,5.679516422674169e-05
22.0,0.0025401655673467083,1.0865760735612184e-08,6.236945983761899e-05
22.400000000000006,0.0030769474771967786,1.2099402368903611e-08,6.761231195762107e-05
22.799999999999997,0.0037361089095697686,1.3190873282553639e-08,7.237656445546747e-05
23.200000000000003,0.004581705187788998,1.411161720810128e-08,7.640910176665017e-05
23.60000000000001,0.005731599432188261,1.4802294057147947e-08,7.92390550703459e-05
24.0,0.007430387854892917,1.4889549149188497e-08,7.989046197076632e-05
24.400000000000006,0.010282724600620075,1.3778863827695886e-08,7.599797105584116e-05
