period,drL_Boris,drL_RK4,drL_SPPINN
607,8.15843973306311e-15,1.696365001426277e-05,0.007174609694927196
608,8.15843973306311e-15,1.6991597869087605e-05,0.007182006587498694
609,8.521037054532582e-15,1.701954572844491e-05,0.0067787096950345065
610,8.702335715267318e-15,1.704749359106559e-05,0.00631192125520826
611,8.15843973306311e-15,1.707544145749354e-05,0.006328999781662075
612,8.702335715267318e-15,1.710338932736617e-05,0.005544198215697946
613,9.427530358206262e-15,1.7131337201408664e-05,0.0055896463544191895
614,9.246231697471526e-15,1.7159285079077135e-05,0.004970033738153006
615,7.795842411593639e-15,1.7187232960552877e-05,0.004627456845557049
616,7.977141072328375e-15,1.721518084565459e-05,0.004477840682312587
617,7.977141072328375e-15,1.724312873528877e-05,0.003734037753076923
618,8.15843973306311e-15,1.727107662764243e-05,0.0038129519280842607
619,7.614543750858903e-15,1.7299024524528558e-05,0.003075656835225989
620,6.526751786450488e-15,1.7326972425765853e-05,0.0029099778155010263
621,5.62025848277681e-15,1.735492032917873e-05,0.0026147176385598572
622,5.438959822042074e-15,1.738286823676148e-05,0.00202332641141071
623,5.0763625005726024e-15,1.741081614923929e-05,0.0021241923037649004
624,5.257661161307338e-15,1.7438764065524373e-05,0.0013859804770244301
625,4.895063839837867e-15,1.7466711983985043e-05,0.001425242266282928
626,5.62025848277681e-15,1.7494659906978175e-05,0.0010300256431754118
627,6.345453125715753e-15,1.752260783432248e-05,0.0006789390741402846
628,6.526751786450488e-15,1.7550555765474054e-05,0.0007848582055133576
629,6.526751786450488e-15,1.7578503699345105e-05,0.00016082122320071413
630,6.88934910791996e-15,1.7606451637929926e-05,0.00040254131887394127
631,7.614543750858903e-15,1.763439957977812e-05,2.9243203203155804e-05
632,7.614543750858903e-15,1.766234752652138e-05,8.742660512061522e-05
633,7.795842411593639e-15,1.7690295476165414e-05,4.804967087845565e-06
634,7.614543750858903e-15,1.7718243429798023e-05,0.00041014762713676226
635,8.15843973306311e-15,1.774619138651271e-05,7.439034795774227e-07
636,8.339738393797847e-15,1.7774139347941158e-05,0.00039909604450260846
637,8.15843973306311e-15,1.7802087311545194e-05,0.00015439266465551142
638,7.795842411593639e-15,1.783003528022559e-05,9.201548690581419e-05
639,7.795842411593639e-15,1.7857983251988064e-05,0.00023704123109076519
640,8.702335715267318e-15,1.7885931228101706e-05,0.00027685145910499577
641,8.339738393797847e-15,1.791387920766002e-05,2.4208977925735632e-05
642,7.977141072328375e-15,1.7941827191750806e-05,0.0004885590758715104
643,7.795842411593639e-15,1.7969775179104964e-05,0.0005111745082634937
