period,dK_RK4,dPx_RK4,dK_Boris,dPx_Boris,dK_SP-PINN (frozen),dPx_SP-PINN (frozen),dK_SP-PINN (time-coord),dPx_SP-PINN (time-coord)
511,3.776091568319373e-06,1.5612042350010569e-06,0.00031975171275577807,0.015082733559292905,0.021418627195578743,1.7311541435915956e-06,1.3211968922455242e-05,1.7984129332404564e-06
514,3.8059135185619652e-06,1.5759898595035793e-06,0.0004965137177244117,0.002212242619979765,0.0001982518493983676,1.5811222031647532e-06,6.292815843522703e-06,4.790420741862533e-06
517,3.835801417828577e-06,1.5907780339663447e-06,0.0004968822407516171,0.0029227486095793065,0.021455671773479956,1.684789818323651e-06,1.3524801027564592e-05,4.8561377550271345e-06
520,3.881114570947197e-06,1.9222173019972644e-06,0.0003610962683202601,0.014600353839954394,1.668975353696922e-06,6.802451446574764e-08,5.1360876303085945e-06,7.12542759506718e-06
523,3.865655400225876e-06,1.6055666363090637e-06,0.0003092170505016867,0.015533151029063053,0.021416558432170163,1.6504987563337181e-06,8.585997139931578e-06,6.048119052914913e-06
526,3.895477354021182e-06,1.6203474826337327e-06,0.000496415051416399,0.002284934101428604,0.0001966738111107702,1.6403228675354597e-06,9.108255829559653e-07,7.598187679924706e-06
529,3.925365255952329e-06,1.6351347877918698e-06,0.0004969445380007542,0.002853197064320634,0.021457850836164027,1.6949297869661706e-06,9.582853704337424e-06,4.271190881199871e-06
532,3.970678357778645e-06,1.9665734178886396e-06,0.00036857218830244065,0.014237747616638652,1.7488695176481883e-06,7.057525253095775e-08,6.9167962601923705e-06,8.779531869951285e-06
535,3.955219209927918e-06,1.6499199539943277e-06,0.0002980113056691991,0.016006497568779032,0.02141442769938262,1.6616227231924796e-06,1.3697711758631215e-05,4.6501151143019115e-06
538,3.985041166387759e-06,1.6647068694641831e-06,0.000496308576879656,0.002358260592875361,0.00019506417076797788,1.6369041582198207e-06,5.374017994164149e-06,3.0494647260681518e-06
541,4.014929076312512e-06,1.6794923753948865e-06,0.0004970016195207094,0.00278416217918509,0.02146004482724262,1.625241161651303e-06,1.2386522877605444e-05,1.6165334448814406e-07
544,4.0602421262914135e-06,2.010931765550339e-06,0.00037561671818764353,0.013890050613322824,1.8519952372786364e-06,4.866102676359674e-08,5.010887428325006e-06,7.443249593119816e-06
547,4.044783002754571e-06,1.6942766505323448e-06,0.00028608964725007624,0.01650456226414221,0.021412384731237744,1.7005316248486224e-06,1.2977865559982149e-05,2.1900089128834566e-06
550,4.074604966319839e-06,1.7090607589143048e-06,0.0004961938329630655,0.0024322440496211684,0.0001934543053083715,1.5975547347224506e-06,6.250104950922264e-06,4.0345567771105095e-06
553,4.104492880685484e-06,1.7238485570114648e-06,0.000497053812070547,0.0027156249108053476,0.021462169378796858,1.7479974760981065e-06,1.2127939918116226e-05,2.4513865830577686e-06
556,4.1498058734878995e-06,2.055285497348791e-06,0.00038225746728359766,0.01355632870014789,1.994988257481012e-06,1.4529917047312324e-08,4.555533627659258e-06,4.339127847696744e-06
559,4.134346776929476e-06,1.738628664149644e-06,0.0002734053357498212,0.017029298281268535,0.021410278482002276,1.6574305861105643e-06,7.900408111716217e-06,7.4550407354045944e-06
562,4.164168744935637e-06,1.753419415218005e-06,0.0004960703374727871,0.0025069070662926407,0.00019185713942349025,1.6347772098246338e-06,1.4295309620493413e-06,6.37148916515784e-06
565,4.1940566628539955e-06,1.7682089559212244e-06,0.0004971014278272179,0.0026475666433256606,0.021464443433393043,1.6132290212578226e-06,1.117010961770859e-05,1.1352398472386227e-06
568,4.239369596481524e-06,2.0996500924574946e-06,0.00038852013158097165,0.013235720673463458,2.007510496726539e-06,1.3678161714381076e-08,6.311955703885985e-06,1.155029397903462e-05
571,4.223910530676278e-06,1.7829955805126474e-06,0.00025991019784177283,0.017582835186054524,0.02140819091719237,1.6616876346020604e-06,1.4521350337304284e-05,5.6710046330010755e-06
574,4.253732504011509e-06,1.797783030887956e-06,0.0004959375861401938,0.002582272881110015,0.00019026789763465501,1.6477307951401343e-06,4.900171957977761e-06,2.507609807800293e-06
577,4.283620429035295e-06,1.812566100101165e-06,0.0004971447648465244,0.002579969220730005,0.02146650669889638,1.7092807134133636e-06,1.210985805055742e-05,7.863225350845937e-07
580,4.32893329693762e-06,2.1440031778841018e-06,0.00039442861550664787,0.012927431758281038,2.225672737665718e-06,2.060845183393667e-08,3.1494932093423245e-06,6.9843358159182856e-06
583,4.313474266659512e-06,1.8273493487264147e-06,0.0002455553689983958,0.018167489870760445,0.02140610848318314,1.7088512496155062e-06,1.2498013366446514e-05,1.7959126772382206e-06
