config,gamma0,dt,omega,larmor_floor
g8_dtEQ,8.0,0.3141592653589793,40.0,0.012807783847099302
g8_dtEQ,8.0,0.3141592653589793,41.0,0.00018577148749901294
g8_dtEQ,8.0,0.3141592653589793,42.0,0.0003065788837040261
g8_dtEQ,8.0,0.3141592653589793,43.0,0.0003456039501123576
g8_dtEQ,8.0,0.3141592653589793,44.0,0.00033158108690359864
g8_dtEQ,8.0,0.3141592653589793,45.0,0.00010722788972085439
g8_dtEQ,8.0,0.3141592653589793,46.0,0.00026725575174808277
g8_dtEQ,8.0,0.3141592653589793,47.0,0.00020699042708187754
g8_dtEQ,8.0,0.3141592653589793,48.0,0.00010267532829132422
g8_dtEQ,8.0,0.3141592653589793,49.0,0.0001504670464660073
g8_dtEQ,8.0,0.3141592653589793,50.0,1.4363107939488207
g8_dtEQ,8.0,0.3141592653589793,51.0,0.0005582686245461307
g8_dtEQ,8.0,0.3141592653589793,52.0,0.00030584852799896427
g8_dtEQ,8.0,0.3141592653589793,53.0,0.00020351525894762832
g8_dtEQ,8.0,0.3141592653589793,54.0,0.00013851883289368272
g8_dtEQ,8.0,0.3141592653589793,55.0,2.118308859396918e-05
g8_dtEQ,8.0,0.3141592653589793,56.0,7.912003487135892e-05
g8_dtEQ,8.0,0.3141592653589793,57.0,8.549269130704325e-05
g8_dtEQ,8.0,0.3141592653589793,58.0,0.00012765656664301048
g8_dtEQ,8.0,0.3141592653589793,59.0,0.0002808987583291511
g8_dtEQ,8.0,0.3141592653589793,60.0,0.017545183654435845
