period,drL_Boris,drL_RK4,drL_SPPINN,dgamma_Boris,dgamma_RK4,dgamma_SPPINN
1741,1.1784412947757827e-14,4.865894835428432e-05,1.620951182298514e-05,1.1191048088221578e-14,4.6712544958360525e-05,1.556113639473722e-05
1751,1.6135580805391487e-14,4.893846998543994e-05,1.427306270248688e-05,1.5276668818842153e-14,4.698088520047605e-05,1.3702144105742776e-05
1761,1.758597009126937e-14,4.9217991993334176e-05,9.066976243635484e-06,1.6697754290362355e-14,4.7249225801238026e-05,8.704295615480362e-06
1771,1.9036359377147257e-14,4.9497514381955606e-05,1.3944203634959683e-05,1.829647544582258e-14,4.7517566764376797e-05,1.3386439222706769e-05
1781,1.9580255359351466e-14,4.977703714695305e-05,3.2745938366945497e-06,1.8829382497642654e-14,4.7785908085984376e-05,3.143610289058074e-06
1791,2.030545000229041e-14,5.005656029231508e-05,1.4214618786133576e-05,1.9539925233402755e-14,4.805424976961348e-05,1.3646030155278766e-05
1801,2.0124151341555672e-14,5.033608381314664e-05,1.052613351474278e-05,1.9184653865522706e-14,4.832259181100085e-05,1.0105090301415487e-05
1811,1.9942852680820938e-14,5.061560771271111e-05,7.320599936519209e-06,1.900701818158268e-14,4.859093421263339e-05,7.027774910106644e-06
1821,2.0849345984494616e-14,5.089513199191497e-05,1.6926574145707777e-05,1.9895196601282804e-14,4.8859276975932174e-05,1.6249505678977983e-05
1831,2.2299735270372502e-14,5.1174656648763937e-05,7.550389595684515e-06,2.1316282072803006e-14,4.9127620098587955e-05,7.2483751063501245e-06
1841,2.0486748663025144e-14,5.1454181681263735e-05,1.526142624349217e-05,1.9539925233402755e-14,4.939596357882437e-05,1.465096472195171e-05
1851,2.193713794890303e-14,5.1733707097754095e-05,1.5802436176371716e-05,2.0961010704922957e-14,4.966430742499028e-05,1.5170333934655388e-05
1861,2.2662332591841974e-14,5.201323289043917e-05,6.213943882902375e-06,2.1671553440683054e-14,4.9932651629092105e-05,5.965386868922451e-06
1871,1.97615540200862e-14,5.229275906240105e-05,1.906291060517237e-05,1.8829382497642654e-14,5.020099619432727e-05,1.8300387203851187e-05
1881,1.939895669861673e-14,5.257228561454622e-05,1.039296625415959e-05,1.8474111129762605e-14,5.046934112158396e-05,9.977245530201628e-06
1891,2.0124151341555672e-14,5.285181254252351e-05,6.92561809101237e-06,1.9184653865522706e-14,5.0737686406598924e-05,6.648594288272136e-06
1901,2.193713794890303e-14,5.31313398501402e-05,1.836512746581983e-05,2.0961010704922957e-14,5.10060320531025e-05,1.7630515891475795e-05
1911,2.1030644645229353e-14,5.341086753141343e-05,1.416466419679255e-06,2.0250467969162856e-14,5.127437805523272e-05,1.359807724377049e-06
1921,2.1030644645229353e-14,5.369039559540813e-05,9.181677417421986e-06,2.0250467969162856e-14,5.154272442169372e-05,8.814411939184198e-06
