period,dI1_Boris,dI1_RK4,dI1_SPPINN
373,0.021961488126243864,1.8915263685421902e-13,0.001633432066017022
374,0.02200806057610538,1.8915263685421902e-13,0.008663070417792148
375,0.02205453824164132,1.0078936124348896e-13,0.009152457059809264
376,0.022100920922841407,1.4497099904885398e-13,0.0013905390273481557
377,0.022147208419783734,1.4497099904885398e-13,0.014244080207637136
378,0.02219340053303238,1.4497099904885398e-13,0.00018980363211185046
379,0.022239497063769983,1.4497099904885398e-13,0.011411369326518187
380,0.022285497813620984,1.0078936124348896e-13,0.006431442384723578
381,0.022331402584033103,1.0078936124348896e-13,0.0038069349562808636
382,0.02237721117773533,1.8915263685421902e-13,0.013365963913655174
383,0.0224229233971032,5.6607723438123935e-14,0.0002114103462067061
384,0.022468539045616784,5.6607723438123935e-14,0.013484060938530199
385,0.02251405792649107,1.0078936124348896e-13,0.0037972891909833196
386,0.022559479843913037,5.6607723438123935e-14,0.006712028464708046
387,0.022604804602113848,3.175555217260611e-14,0.0115126949759244
388,0.02265003200594321,1.0078936124348896e-13,0.000491077756355256
389,0.02269516186073683,1.8915263685421902e-13,0.014563473453807391
390,0.02274019397187459,1.0078936124348896e-13,0.0016531328592083413
391,0.022785128145664187,1.8915263685421902e-13,0.00966091645767537
392,0.022829964188501688,1.0078936124348896e-13,0.008968001614101877
393,0.02287470190709243,1.2426085632758913e-14,0.0021896284883015944
394,0.02291934110893701,1.0078936124348896e-13,0.014484083315966463
395,0.022963881601977855,1.8915263685421902e-13,0.0003271035813957097
396,0.023008323194024835,1.2426085632758913e-14,0.01220191782706032
397,0.02305266569390401,1.0078936124348896e-13,0.006121508990788424
398,0.02309690891052979,1.0078936124348896e-13,0.004624150286757605
399,0.023141052653435138,1.4497099904885398e-13,0.013257970134083433
400,0.0231850967324181,1.4497099904885398e-13,2.212697851226711e-05
401,0.02322904095798364,1.8915263685421902e-13,0.013945772083644885
402,0.023272885140680884,1.4497099904885398e-13,0.003409042572313892
403,0.023316629091677518,5.6607723438123935e-14,0.007421902606458771
404,0.023360272622538855,5.6607723438123935e-14,0.01107298046643382
405,0.02340381554540457,1.0078936124348896e-13,0.0007848747642771846
406,0.023447257672856162,1.8915263685421902e-13,0.014625339157968315
407,0.023490598817696023,1.0078936124348896e-13,0.0012458946753859104
408,0.023533838793124193,1.8915263685421902e-13,0.010154539373325428
409,0.023576977413003432,5.6607723438123935e-14,0.008263879054838039
410,0.02362001449177086,1.4497099904885398e-13,0.0024986226376996837
411,0.023662949843598506,1.4497099904885398e-13,0.014136599296823187
412,0.023705783284072218,1.0078936124348896e-13,3.673738534487118e-05
413,0.023748514628601114,1.0078936124348896e-13,0.012403679046441324
414,0.023791143692859396,2.3333427465958405e-13,0.005260974409991706
